date,min_temperature
2014-08-28,9.5
2014-08-29,7.333333333333333
2014-08-30,4.0
2014-08-31,4.366666666666666
2014-09-01,5.933333333333334
2014-09-02,3.3333333333333335
2014-09-03,2.0666666666666664
2014-09-04,6.533333333333334
2014-09-05,6.599999999999999
2014-09-06,6.099999999999999
2014-09-07,7.033333333333334
2014-09-08,8.933333333333334
2014-09-09,10.0
2014-09-10,13.833333333333334
2014-09-11,14.300000000000002
2014-09-12,14.633333333333333
2014-09-13,7.466666666666666
2014-09-14,2.2333333333333334
2014-09-15,0.2666666666666666
2014-09-16,2.733333333333333
2014-09-17,1.1333333333333333
2014-09-18,3.5
2014-09-19,4.8999999999999995
2014-09-20,3.1999999999999997
2014-09-21,3.9333333333333336
2014-09-22,9.233333333333333
2014-09-23,0.4000000000000001
2014-09-24,-1.8666666666666665
2014-09-25,4.566666666666667
2014-09-26,3.1
2014-09-27,5.933333333333334
2014-09-28,5.566666666666666
2014-09-29,7.6
2014-09-30,5.433333333333334
2014-10-01,-1.6333333333333335
2014-10-02,-2.1666666666666665
2014-10-03,-1.4333333333333331
2014-10-04,0.5333333333333333
2014-10-05,0.4333333333333333
2014-10-06,4.4
2014-10-07,4.0
2014-10-08,2.6
2014-10-09,8.766666666666667
2014-10-10,9.4
2014-10-11,6.166666666666667
2014-10-12,6.533333333333334
2014-10-13,6.933333333333334
2014-10-14,6.833333333333333
2014-10-15,4.6000000000000005
2014-10-16,1.5666666666666664
2014-10-17,-3.6333333333333337
2014-10-18,-3.966666666666667
2014-10-19,-1.3666666666666665
2014-10-20,4.866666666666667
2014-10-21,-1.8333333333333333
2014-10-22,-6.166666666666667
2014-10-23,-7.966666666666666
2014-10-24,-8.3
2014-10-25,-4.866666666666667
2014-10-26,-2.4333333333333336
2014-10-27,3.1666666666666665
2014-10-28,7.066666666666666
2014-10-29,3.033333333333333
2014-10-30,1.4
2014-10-31,-2.6
2014-11-01,-4.4
2014-11-02,-3.5
2014-11-03,3.1333333333333333
2014-11-04,4.3
2014-11-05,3.733333333333334
2014-11-06,4.3
2014-11-07,4.833333333333333
2014-11-08,2.033333333333333
2014-11-09,-1.4666666666666668
2014-11-10,-1.6333333333333335
2014-11-11,4.9
2014-11-12,4.733333333333333
2014-11-13,4.9
2014-11-14,4.1
2014-11-18,-2.55
2014-11-19,-6.5
